"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1065","TC-03-047 @major layout stable with long names","firefox","Thu May 28 14:55:27 UTC 2026","passed","Thu May 28 14:55:28 UTC 2026","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1","TC-08-121 @major touch targets ≥44px","webkit","Thu May 28 15:00:25 UTC 2026","skipped","Thu May 28 15:00:25 UTC 2026","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","324","TC-05-071 @critical max qty enforced","firefox","Thu May 28 14:55:52 UTC 2026","passed","Thu May 28 14:55:52 UTC 2026","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","3","TC-06-089 @critical symbol injection in name","webkit","Thu May 28 14:57:58 UTC 2026","skipped","Thu May 28 14:57:58 UTC 2026","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","762","TC-04-059 @major shadow layout reacts to resize","chromium","Thu May 28 14:55:56 UTC 2026","passed","Thu May 28 14:55:56 UTC 2026","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","9395","TC-02-023 @critical lazy-load triggers on scroll","firefox","Thu May 28 14:53:44 UTC 2026","passed","Thu May 28 14:53:54 UTC 2026","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","740","TC-03-044 @major preferences persist across tabs","chromium","Thu May 28 14:55:31 UTC 2026","passed","Thu May 28 14:55:32 UTC 2026","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1330","TC-03-iframe @critical handles cross-domain secure elements","chromium","Thu May 28 14:55:15 UTC 2026","passed","Thu May 28 14:55:16 UTC 2026","Advanced Security Boundaries & Frames","03-product-configuration/iframe-shadow.spec.js","",""
"","0","TC-07-103 @critical payment tokens unique","firefox","Thu May 28 14:58:53 UTC 2026","skipped","Thu May 28 14:58:53 UTC 2026","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","8263","TC-02-021 @critical pagination respects item limits","firefox","Thu May 28 14:53:27 UTC 2026","passed","Thu May 28 14:53:35 UTC 2026","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","23262","TC-01-012 @major logout wipes auth token","firefox","Thu May 28 14:51:52 UTC 2026","passed","Thu May 28 14:52:16 UTC 2026","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","8199","TC-02-031 @major description text renders without overlap","firefox","Thu May 28 14:54:50 UTC 2026","passed","Thu May 28 14:54:58 UTC 2026","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
