"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19486","TC-07-099 @critical order placed message is visible","webkit","2026-05-29","passed","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","1","TC-06-092 @major inline error clears as user types","webkit","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","23346","TC-01-012 @major logout wipes auth token","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1477","TC-04-058 @major shadow component transitions perform smoothly","webkit","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1","TC-07-109 @major billing mirrors shipping by default","firefox","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","930","TC-05-066 @critical item row removal clears element","webkit","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","1539","TC-04-052 @critical extract hidden text inside shadow tree","chromium","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1","TC-06-089 @critical symbol injection in name","firefox","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","283","TC-05-073 @critical cart syncs across tabs","firefox","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","2","TC-06-085 @critical postal code length boundary","chromium","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","2058","TC-03-045 @major hi-res asset request fires on zoom","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","17421","TC-01-007 @critical SQLi pattern sanitized","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","508","TC-05-069 @critical OOS items blocked","webkit","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","2","TC-06-090 @critical whitespace-only inputs invalid","chromium","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1","TC-08-124 @major external footer links use rel=noopener","chromium","2026-05-29","skipped","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","1083","TC-03-036 @critical price updates on toggle","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","3","TC-06-086 @critical month range 1-12","chromium","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","22629","TC-06-082 @blocker continue shopping returns home","firefox","2026-05-29","passed","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","1","TC-08-119 @major orientation switch reflows menu","firefox","2026-05-29","skipped","2026-05-29","ResponsiveNavigationService","08-responsive-navigation/navigation.spec.js","",""
"","3","TC-06-085 @critical postal code length boundary","webkit","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","3","TC-07-104 @major download invoice link visible","webkit","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","156","TC-05-073 @critical cart syncs across tabs","chromium","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","22138","TC-06-082 @blocker continue shopping returns home","webkit","2026-05-29","passed","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","9598","TC-01-009 @critical password case sensitivity enforced","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1048","TC-04-050 @critical shadow styles isolated from page","firefox","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1403","TC-04-053 @critical data-test attributes available in shadow","chromium","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","9581","TC-01-015 @major whitespace trimmed on validation","chromium","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","8633","TC-02-022 @critical card click routes to product detail","chromium","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","17827","TC-01-016 @major modal close discards unsaved input","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1214","TC-02-028 @major deep link loads grid directly","firefox","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","17985","TC-01-016 @major modal close discards unsaved input","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","356","TC-05-065 @critical decrement quantity minimizes subtotal","firefox","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","8299","TC-02-019 @blocker /department/sofas renders grid","chromium","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","3","TC-07-104 @major download invoice link visible","firefox","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","9734","TC-01-008 @critical XSS payload sanitized","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","8317","TC-02-029 @major breadcrumb reflects hierarchy","chromium","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","8465","TC-02-021 @critical pagination respects item limits","webkit","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","951","TC-05-064 @critical increment quantity updates subtotal","webkit","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","8390","TC-02-032 @major error boundary on department timeout","chromium","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","9728","TC-01-004 @blocker mandatory field validation on blank login","firefox","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","970","TC-03-047 @major layout stable with long names","chromium","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1501","TC-03-034 @critical color swatch click activates SVG path","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","21049","TC-06-082 @blocker continue shopping returns home","chromium","2026-05-29","passed","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","8181","TC-02-031 @major description text renders without overlap","firefox","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","9728","TC-01-008 @critical XSS payload sanitized","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1122","TC-03-043 @major config card mirrors selection","webkit","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
"","1210","TC-05-079 @major long product names clear delete buttons without layout wrapping","firefox","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","9756","TC-02-026 @critical all images return HTTP 200","firefox","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","9700","TC-01-009 @critical password case sensitivity enforced","webkit","2026-05-29","passed","2026-05-29","ProfileSessionService","01-profile-session/profile-session.spec.js","",""
"","1381","TC-04-060 @major shadow hover/active styles render","firefox","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","1","TC-07-107 @major orientation change preserves modal","chromium","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","1","TC-06-095 @major escape closes checkout safely","chromium","2026-05-29","skipped","2026-05-29","CheckoutFormService","06-checkout-form/checkout.spec.js","",""
"","588","TC-05-064 @critical increment quantity updates subtotal","chromium","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","8257","TC-02-17 @blocker /department/chairs renders grid","chromium","2026-05-29","passed","2026-05-29","DepartmentCatalogService","02-department-catalog/catalog.spec.js","",""
"","935","TC-04-059 @major shadow layout reacts to resize","firefox","2026-05-29","passed","2026-05-29","ShadowWidgetsService","04-shadow-widgets/shadow.spec.js","",""
"","550","TC-05-068 @critical checkout transitions to checkout page context","chromium","2026-05-29","passed","2026-05-29","ShoppingCartOperationsService","05-shopping-cart/cart.spec.js","",""
"","2","TC-07-110 @major tracking maps to initial order state","webkit","2026-05-29","skipped","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","1532","TC-05-076 @critical modified variations preserve unique attributes in distinct rows","firefox","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","20753","TC-07-097 @blocker continue shopping returns home","webkit","2026-05-29","passed","2026-05-29","FulfillmentInvoiceService","07-fulfillment-invoice/invoice.spec.js","",""
"","940","TC-05-080 @major browser navigation paths preserve cart contents via back button","chromium","2026-05-29","passed","2026-05-29","","05-shopping-cart/cart.spec.js","",""
"","1361","TC-03-035 @critical option change updates hero image","chromium","2026-05-29","passed","2026-05-29","ProductConfigurationService [SVG]","03-product-configuration/product-svg.spec.js","",""
